ID                                    CREATE_TIME                DURATION  SOURCE                                                                                                                                          IMAGES                                                                                  STATUS
2b5b84e4-7079-4840-9a92-a4041d8d0574  2020-06-04T12:57:05+00:00  1M32S     gs://860072850109.cloudbuild-source.googleusercontent.com/14894fd7a39c5616570cc8bd96e7f745e4101c8c-8464444f-d746-4ef0-b74b-5d977fba363e.tar.gz  gcr.io/banba-group/banbagroup.com:14894fd7a39c5616570cc8bd96e7f745e4101c8c (+2 more)    SUCCESS
f148150c-0171-4fac-83ab-11bd42568170  2020-06-04T12:55:17+00:00  1M32S     gs://860072850109.cloudbuild-source.googleusercontent.com/036e456474ad4d4add32f772fa75cf5a2df42828-8ec6da84-6de7-4bd6-bb8f-ab7f06554490.tar.gz  gcr.io/banba-group/banbagroup.com:036e456474ad4d4add32f772fa75cf5a2df42828 (+2 more)    SUCCESS
a0edd6f0-755e-4a53-865f-68cf6b98a3a2  2020-06-04T12:44:45+00:00  1M28S     gs://860072850109.cloudbuild-source.googleusercontent.com/5851dc60ac3fc3250debcfb376c1bf35dd8b41c6-e34b82d6-ea08-481d-877e-a02234fb48c8.tar.gz  gcr.io/banba-group/banbagroup.com:5851dc60ac3fc3250debcfb376c1bf35dd8b41c6 (+2 more)    SUCCESS
cc6536f0-839d-44e2-9a32-d97a559cdae1  2020-06-04T12:43:38+00:00  1M31S     gs://860072850109.cloudbuild-source.googleusercontent.com/fecd6ec030864a8a90586fc98529091c3b957004-7b7f351f-765d-47c0-99ea-1ab7c95b8a5e.tar.gz  gcr.io/banba-group/banbagroup.com:fecd6ec030864a8a90586fc98529091c3b957004 (+2 more)    SUCCESS

ID                                    CREATE_TIME                DURATION  SOURCE                                                                                                                                          IMAGES                                                                                 STATUS
8007a93c-07d5-49dc-813f-f8d9405bff6c  2020-06-04T12:40:22+00:00  1M38S     gs://860072850109.cloudbuild-source.googleusercontent.com/f6f0e37af4f8876c64d66fe168c153a52cb1be18-2ae750a4-bac8-47d2-b863-9e208744abf7.tar.gz  gcr.io/banba-group/banbagroup.com:f6f0e37af4f8876c64d66fe168c153a52cb1be18 (+2 more)   SUCCESS
02015605-d812-4e00-ad7a-0425773a6996  2020-06-04T12:38:58+00:00  1M34S     gs://860072850109.cloudbuild-source.googleusercontent.com/44f7a76dce36b8e778bf27aa7f8db932570f98d3-c3cfbe27-f7c9-4ac4-9ad7-9ed2fb3caa90.tar.gz  gcr.io/banba-group/banbagroup.com:44f7a76dce36b8e778bf27aa7f8db932570f98d3 (+2 more)   SUCCESS
321a52e5-7da1-486c-a8a4-ffaf710bf3e6  2020-06-04T12:36:00+00:00  1M34S     gs://860072850109.cloudbuild-source.googleusercontent.com/c501072a3bdc383a077bfdfa7b69ce3a2023bfd7-ae197f38-1890-42cc-a87e-02806acf3a88.tar.gz  gcr.io/banba-group/banbagroup.com:c501072a3bdc383a077bfdfa7b69ce3a2023bfd7 (+2 more)   SUCCESS
ca693078-1eea-47ec-8b83-23f56fd4941c  2020-06-04T12:33:30+00:00  1M45S     gs://860072850109.cloudbuild-source.googleusercontent.com/691b38882436ac37f3a6a6f6b5fb9c29870ddd7c-5c2f736a-6010-40d9-96d8-8b1910d83e05.tar.gz  gcr.io/banba-group/banbagroup.com:691b38882436ac37f3a6a6f6b5fb9c29870ddd7c (+2 more)   SUCCESS
72cc8b9e-13e5-4828-84ae-1f31ed7e9464  2020-06-04T12:23:30+00:00  7M44S     gs://860072850109.cloudbuild-source.googleusercontent.com/9a78c265b25eb74ee7f52587a37e699b8faf7645-85db4f9b-1744-449c-934e-ad37227a36fc.tar.gz  gcr.io/banba-group/pasapay-test:9a78c265b25eb74ee7f52587a37e699b8faf7645 (+2 more)     SUCCESS
9ceb5bc7-cfcc-423a-8f00-4cb7c49e3ebf  2020-06-04T12:19:45+00:00  7M28S     gs://860072850109.cloudbuild-source.googleusercontent.com/ecbf7d60d2113658bad52ae6fdc0ac4a67e0f0a6-39cfab64-4b26-45df-b793-1ca604fd4d85.tar.gz  gcr.io/banba-group/pasapay-test:ecbf7d60d2113658bad52ae6fdc0ac4a67e0f0a6 (+2 more)     SUCCESS
369e6788-207e-4082-b05e-26dee51a8f41  2020-06-04T12:17:26+00:00  6M49S     gs://860072850109.cloudbuild-source.googleusercontent.com/ba6cb4f90e1e63d906c444a27cceb43af4220a6a-f86912bd-964e-4aa0-b55f-f4b5f6e02ceb.tar.gz  gcr.io/banba-group/pasapay-test:ba6cb4f90e1e63d906c444a27cceb43af4220a6a (+2 more)     SUCCESS
73f3de5d-dc0c-479f-9b14-f0212b42f713  2020-06-04T11:37:39+00:00  6M50S     gs://860072850109.cloudbuild-source.googleusercontent.com/749ad990255a455b27d194c8ef3dd6fb0d068264-70a93c5e-bfea-4f7a-b8ef-3f600ade81d6.tar.gz  gcr.io/banba-group/pasapay-test:749ad990255a455b27d194c8ef3dd6fb0d068264 (+2 more)     SUCCESS
